     p4        x2         p5       p2

============= p4 = 6.0 =============
p4: 12.00, x2: 8.20, p5: 0.1086080, p2: 0.0093133
p4: 12.00, x2: 8.30, p5: 0.0970141, p2: 0.0089171
p4: 12.00, x2: 8.40, p5: 0.0856463, p2: 0.0085393
p4: 12.00, x2: 8.50, p5: 0.0744983, p2: 0.0081791
p4: 12.00, x2: 8.60, p5: 0.0635641, p2: 0.0078355
p4: 12.00, x2: 8.70, p5: 0.0528379, p2: 0.0075078
p4: 12.00, x2: 8.80, p5: 0.0423140, p2: 0.0071951
p4: 12.00, x2: 8.90, p5: 0.0319871, p2: 0.0068967
p4: 12.00, x2: 9.00, p5: 0.0218519, p2: 0.0066120
p4: 12.00, x2: 9.10, p5: 0.0119032, p2: 0.0063403
p4: 12.00, x2: 9.20, p5: 0.0021361, p2: 0.0060809
